   Z    A                         m(KeV)      Element   BETA_GS   BETA_2+ E_2+(MeV)
  60  146                       -80925.8         Nd     0.152     0.152     0.454
  60  148                       -77407.8         Nd     0.201     0.201     0.302
  60  150                       -73679.1         Nd     0.285     0.285     0.130
  60  152                         -70149         Nd     0.349     0.349     0.073
  60  154                         -65680         Nd     0.258     0.258     0.071
  60  156                         -60470         Nd     0.267     0.267     0.067
  62  130                        -47510#         Sm     0.392     0.392     0.122
  62  132                        -55080#         Sm     0.380     0.380     0.131
  62  134                        -61380#         Sm     0.366     0.366     0.163
  62  136                         -66811         Sm     0.293     0.293     0.255
  62  138                         -71498         Sm     0.208     0.208     0.347
  62  140                         -75456         Sm     0.179     0.179     0.531
  62  142                         -78987         Sm     0.070     0.144     0.768
  62  144                       -81965.4         Sm     0.050     0.087     1.660
  62  146                         -80996         Sm     0.050     0.083     0.747
  62  148                       -79336.1         Sm     0.142     0.142     0.550
  62  150                       -77050.5         Sm     0.193     0.193     0.334
  62  152                       -74762.0         Sm     0.306     0.306     0.122
  62  154                       -72454.5         Sm     0.341     0.341     0.082
  62  156                         -69363         Sm     0.343     0.343     0.076
  62  158                         -65250         Sm     0.344     0.344     0.073
  62  160                         -60235         Sm     0.345     0.345     0.071
  64  138                        -55660#         Gd     0.258     0.258     0.221
  64  140                         -61782         Gd     0.220     0.220     0.329
  64  142                         -66960         Gd     0.180     0.180     0.515
  64  144                         -71760         Gd     0.085     0.170     0.743
  64  146                         -76086         Gd     0.050     0.130     1.972
  64  148                       -76269.3         Gd     0.080     0.160     0.784
  64  150                         -75764         Gd     0.170     0.170     0.638
  64  152                       -74706.3         Gd     0.206     0.206     0.344
  64  154                       -73705.3         Gd     0.312     0.312     0.123
  64  156                       -72534.3         Gd     0.338     0.338     0.089
  64  158                       -70688.9         Gd     0.348     0.348     0.080
  64  160                       -67940.9         Gd     0.353     0.353     0.075
  64  162                         -64280         Gd     0.360     0.360     0.071
  64  164                        -59770#         Gd     0.349     0.349     0.073
  66  142                        -50120#         Dy     0.180     0.180     0.316
  66  144                         -56570         Dy     0.120     0.120     0.493
  66  146                         -62555         Dy     0.100     0.100     0.683
  66  148                         -67853         Dy     0.050     0.050     1.677
  66  150                         -69309         Dy     0.090     0.090     0.803
  66  152                         -70118         Dy     0.097     0.097     0.614
  66  154                         -70394         Dy     0.237     0.237     0.335
  66  156                       -70528.3         Dy     0.293     0.293     0.138
  66  158                       -70406.2         Dy     0.326     0.326     0.099
  66  160                       -69671.4         Dy     0.339     0.339     0.087
  66  162                       -68180.2         Dy     0.343     0.343     0.081
  66  164                       -65966.7         Dy     0.348     0.348     0.073
  66  166                       -62583.5         Dy     0.339     0.339     0.071
  68  144                        -36610#         Er     0.200     0.200     0.330
  68  146                         -44322         Er     0.180     0.180     0.480
  68  148                         -51479         Er     0.150     0.150     0.647
  68  150                         -57831         Er     0.080     0.080     1.579
  68  152                         -60494         Er     0.120     0.120     0.808
  68  154                         -62605         Er     0.160     0.160     0.560
  68  156                         -64210         Er     0.189     0.189     0.345
  68  158                         -65304         Er     0.255     0.255     0.192
  68  160                         -66064         Er     0.304     0.304     0.126
  68  162                       -66333.2         Er     0.322     0.322     0.102
  68  164                       -65941.6         Er     0.333     0.333     0.091
  68  166                       -64925.6         Er     0.342     0.342     0.081
  68  168                       -62990.7         Er     0.338     0.338     0.080
  68  170                       -60109.1         Er     0.336     0.336     0.079
  68  172                         -56484         Er     0.330     0.330     0.077
  70  152                         -46320         Yb     0.070     0.070     1.531
  70  154                         -49932         Yb     0.090     0.090     0.821
  70  156                         -53258         Yb     0.170     0.170     0.536
  70  158                         -56010         Yb     0.194     0.194     0.358
  70  160                         -58165         Yb     0.230     0.230     0.243
  70  162                         -59827         Yb     0.263     0.263     0.167
  70  164                         -61018         Yb     0.290     0.290     0.123
  70  166                         -61595         Yb     0.315     0.315     0.102
  70  168                       -61581.4         Yb     0.322     0.322     0.088
  70  170                       -60764.7         Yb     0.326     0.326     0.084
  70  172                       -59256.2         Yb     0.330     0.330     0.079
  70  174                       -56945.5         Yb     0.325     0.325     0.076
  70  176                       -53489.7         Yb     0.305     0.305     0.082
  70  178                         -49694         Yb     0.300     0.300     0.084
  72  154                        -32730#         Hf     0.060     0.060     1.513
  72  156                         -37870         Hf     0.090     0.090     0.858
  72  158                         -42103         Hf     0.120     0.120     0.476
  72  160                         -45931         Hf     0.140     0.140     0.390
  72  162                         -49169         Hf     0.157     0.157     0.285
  72  164                         -51818         Hf     0.197     0.197     0.211
  72  166                         -53859         Hf     0.250     0.250     0.159
  72  168                         -55361         Hf     0.275     0.275     0.124
  72  170                         -56254         Hf     0.301     0.301     0.101
  72  172                         -56402         Hf     0.276     0.276     0.095
  72  174                       -55846.7         Hf     0.286     0.286     0.091
  72  176                       -54578.4         Hf     0.295     0.295     0.088
  72  178                       -52437.7         Hf     0.280     0.280     0.093
  72  180                       -49781.8         Hf     0.274     0.274     0.093
  72  182                         -46052         Hf     0.260     0.260     0.098
  72  184                         -41500         Hf     0.240     0.240     0.107
  74  162                         -34000          W     0.180     0.180     0.450
  74  164                         -38228          W     0.200     0.200     0.332
  74  166                         -41888          W     0.230     0.230     0.252
  74  168                         -44893          W     0.232     0.232     0.199
  74  170                         -47290          W     0.240     0.240     0.157
  74  172                         -49097          W     0.284     0.284     0.123
  74  174                         -50227          W     0.251     0.251     0.113
  74  176                         -50642          W     0.265     0.265     0.109
  74  178                         -50409          W     0.251     0.251     0.106
  74  180                       -49638.6          W     0.254     0.254     0.104
  74  182                       -48247.7          W     0.251     0.251     0.100
  74  184                       -45707.6          W     0.236     0.236     0.111
  74  186                       -42510.8          W     0.226     0.226     0.122
  74  188                         -38670          W     0.198     0.198     0.143
  74  190                         -34380          W     0.170     0.170     0.205
  76  164                         -20470         Os     0.160     0.160     0.548
  76  166                         -25437         Os     0.180     0.180     0.431
  76  168                         -29987         Os     0.200     0.200     0.341
  76  170                         -33926         Os     0.210     0.210     0.287
  76  172                         -37244         Os     0.225     0.225     0.228
  76  174                         -39995         Os     0.266     0.266     0.159
  76  176                         -42098         Os     0.218     0.218     0.135
  76  178                         -43544         Os     0.246     0.246     0.132
  76  180                         -44362         Os     0.226     0.226     0.132
  76  182                         -44609         Os     0.234     0.234     0.127
  76  184                       -44256.6         Os     0.213     0.213     0.120
  76  186                       -43002.4         Os     0.200     0.200     0.137
  76  188                       -41139.3         Os     0.186     0.186     0.155
  76  190                       -38709.4         Os     0.178     0.178     0.187
  76  192                       -35883.9         Os     0.167     0.167     0.206
  76  194                       -32437.2         Os     0.160     0.160     0.219
  76  196                         -28280         Os     0.140     0.140     0.300
  78  168                         -11060         Pt     0.120     0.120     0.582
  78  170                         -16305         Pt     0.120     0.120     0.509
  78  172                         -21097         Pt     0.130     0.130     0.457
  78  174                         -25318         Pt     0.160     0.160     0.394
  78  176                         -28934         Pt     0.190     0.190     0.264
  78  178                         -31997         Pt     0.243     0.243     0.170
  78  180                         -34436         Pt     0.256     0.256     0.152
  78  182                         -36168         Pt     0.216     0.216     0.155
  78  184                         -37339         Pt     0.224     0.224     0.163
  78  186                         -37864         Pt     0.198     0.198     0.192
  78  188                         -37829         Pt     0.186     0.186     0.266
  78  190                         -37325         Pt     0.149     0.149     0.296
