  Z     A  Element   m      d      beta       
 31    59    Ga     nan    0.55     0.1    
 31    60    Ga     nan    0.55     0.1    
 31    61    Ga     nan    0.55     0.1    
 31    62    Ga     nan    0.55     0.1    
 31    63    Ga     nan    0.55     0.1    
 31    64    Ga     nan    0.55     0.1    
 31    65    Ga     nan    0.55     0.1    
 31    66    Ga     nan    0.55     0.1    
 31    67    Ga     nan    0.55     0.1    
 31    68    Ga     nan    0.55     0.1    
 31    69    Ga     nan    0.55     0.1    
 31    70    Ga     nan    0.55     0.1    
 31    71    Ga     nan    0.55     0.1    
 31    72    Ga     nan    0.55     0.1    
 31    73    Ga     nan    0.55     0.1    
 31    74    Ga     nan    0.55     0.1    
 31    75    Ga     nan    0.55     0.1    
 31    76    Ga     nan    0.55     0.1    
 31    77    Ga     nan    0.55     0.1    
 31    78    Ga     nan    0.55     0.1    
 31    79    Ga     nan    0.55     0.1    
 31    80    Ga     nan    0.55     0.1    
 31    81    Ga     nan    0.55     0.1    
 31    82    Ga     nan    0.55     0.1    
 31    83    Ga     nan    0.55     0.1    
 31    84    Ga     nan    0.55     0.1    
 32    58    Ge     nan    0.55     0.1    
 32    59    Ge     nan    0.55     0.1    
 32    60    Ge     nan    0.55     0.1    
 32    61    Ge     nan    0.55     0.1    
 32    62    Ge     nan    0.55     0.1    
 32    63    Ge     nan    0.55     0.1    
 32    64    Ge     nan    0.55     0.1    
 32    65    Ge     nan    0.55     0.1    
 32    66    Ge     nan    0.55     0.1    
 32    67    Ge     nan    0.55     0.1    
 32    68    Ge     nan    0.55     0.1    
 32    69    Ge     nan    0.55     0.1    
 32    70    Ge     nan    0.55     0.1    
 32    71    Ge     nan    0.55     0.1    
 32    72    Ge     nan    0.55     0.1    
 32    73    Ge     nan    0.55     0.1    
 32    74    Ge     nan    0.55     0.1    
 32    75    Ge     nan    0.55     0.1    
 32    76    Ge     nan    0.55     0.1    
 32    77    Ge     nan    0.55     0.1    
 32    78    Ge     nan    0.55     0.1    
 32    79    Ge     nan    0.55     0.1    
 32    80    Ge     nan    0.55     0.1    
 32    81    Ge     nan    0.55     0.1    
 32    82    Ge     nan    0.55     0.1    
 32    83    Ge     nan    0.55     0.1    
 32    84    Ge     nan    0.55     0.1    
 32    85    Ge     nan    0.55     0.1    
 32    86    Ge     nan    0.55     0.1    
 33    60    As     nan    0.55     0.1    
 33    61    As     nan    0.55     0.1    
 33    62    As     nan    0.55     0.1    
 33    63    As     nan    0.55     0.1    
 33    64    As     nan    0.55     0.1    
 33    65    As     nan    0.55     0.1    
 33    66    As     nan    0.55     0.1    
 33    67    As     nan    0.55     0.1    
 33    68    As     nan    0.55     0.1    
 33    69    As     nan    0.55     0.1    
 33    70    As     nan    0.55     0.1    
 33    71    As     nan    0.55     0.1    
 33    72    As     nan    0.55     0.1    
 33    73    As     nan    0.55     0.1    
 33    74    As     nan    0.55     0.1    
 33    75    As     nan    0.55     0.1    
 33    76    As     nan    0.55     0.1    
 33    77    As     nan    0.55     0.1    
 33    78    As     nan    0.55     0.1    
 33    79    As     nan    0.55     0.1    
 33    80    As     nan    0.55     0.1    
 33    81    As     nan    0.55     0.1    
 33    82    As     nan    0.55     0.1    
 33    83    As     nan    0.55     0.1    
 33    84    As     nan    0.55     0.1    
 33    85    As     nan    0.55     0.1    
 33    86    As     nan    0.55     0.1    
 33    87    As     nan    0.55     0.1    
 33    88    As     nan    0.55     0.1    
 33    89    As     nan    0.55     0.1    
